"category","content","vet_id"
"left_kidney","Diferenciación corticomedular reducida","da07b0a1-53a8-42db-9c7a-748415bf9734"
"left_kidney","No se observa diferenciación corticomedular","da07b0a1-53a8-42db-9c7a-748415bf9734"
"left_kidney","Se observa pielectasia","da07b0a1-53a8-42db-9c7a-748415bf9734"
"left_kidney","Pelvis distendida","da07b0a1-53a8-42db-9c7a-748415bf9734"
"left_kidney","Capsula de superficie lisa, regular y ecogénica","da07b0a1-53a8-42db-9c7a-748415bf9734"
"left_kidney","Superficie irregular","da07b0a1-53a8-42db-9c7a-748415bf9734"
"right_kidney","Diferenciación corticomedular reducida,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"right_kidney","No se observa diferenciación corticomedular","da07b0a1-53a8-42db-9c7a-748415bf9734"
"right_kidney","Se observa pielectasia","da07b0a1-53a8-42db-9c7a-748415bf9734"
"right_kidney","Pelvis distendida","da07b0a1-53a8-42db-9c7a-748415bf9734"
"right_kidney","Superficie lisa, regular y ecogénica","da07b0a1-53a8-42db-9c7a-748415bf9734"
"right_kidney","Superficie irregular","da07b0a1-53a8-42db-9c7a-748415bf9734"
"right_kidney","Con la misma descripción ecográfica del riñón contralateral","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Vacío.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Distensión leve","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Distensión moderada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Sobredistensión localizada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Sobredistensión generalizada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Contenido gaseoso","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Contenido mucoso","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Contenido líquido intraluminal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Contenido líquido con focos ecogénicos en suspensión.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Estratificación conservada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Estratificación menos evidenciable","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Pérdida total de la estratificación localizada.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Perdida total de la estratificación generalizada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Pared de grosor normal","da07b0a1-53a8-42db-9c7a-748415bf9734"
